dept,donation,events,food_spend,guest_amt,venue_cost,equipment_rental,event_date,attendance,sponsorship,marketing_spend,student_spend
Medical Electronics,621638.0740089759,1,10547.987341585516,19026.042283176866,106133.82930604207,16348.153410544897,2023-05-19,881,135906.62675915024,6822.912782359483,326671.6562037721
IT,1797854.8461161836,4,19084.707997976933,5141.340772165495,125003.31659759235,17674.990503583685,2024-04-25,541,20245.661044265136,10531.003214401024,638346.9227564416
Mechanical,75353.75084593527,40,88204.98270512305,12840.95307404208,135168.81941466522,19304.29904459424,2024-03-24,316,119314.10903822434,14138.176681402796,216408.05147720117
CSE,216741.63516621274,35,71357.37796811451,44393.253130482546,126090.27550463566,28308.70354084277,2023-11-29,101,37692.68849041109,23087.83660768488,228896.4932925608
Civil,455378.1975347533,32,20163.847841741015,24878.592123696817,22462.902438666097,26455.169774425744,2023-12-06,635,60663.51894872034,43058.51952465934,256444.19154906983
IT,101737.79755394845,42,85786.69936587213,49290.552465549525,115669.33396175853,9265.028115541108,2023-02-21,817,221438.97872534476,20581.97228545687,292925.1912361324
Cybersecurity,403799.09842510475,34,31800.809604211023,22806.858360820665,47091.94457038311,15918.945446176875,2024-12-07,931,122660.00172219996,34457.953708195826,273452.01022742124
Civil,1186931.0438908997,43,53043.38957757011,37183.39046511086,37280.64555203774,16600.01070491066,2024-04-10,810,262813.48047745746,36919.14326615675,551471.1761730637
ECE,871777.873655371,25,23067.68615961943,17686.356930712813,103003.54202388761,24727.402791218916,2024-12-18,455,134211.93909602327,31378.205933975365,428647.8707527125
AI&DS,1790709.8366001009,10,73909.90507795359,21371.433851342008,61566.61540300034,20072.322065135882,2024-04-19,725,470863.27754044434,21075.88856765613,767183.7953698988
EEE,1644014.9453899597,21,70016.89789128411,13582.66944159026,27425.231238157623,21355.511550725325,2024-02-05,891,453912.5442838696,30967.400377109494,709862.7732819496
Cybersecurity,716543.8358108582,46,29000.122404952257,20617.806582472775,37891.86547178698,29954.99769164044,2024-03-14,766,287734.99145512836,20401.951675538578,415850.88303824695
ECE,555875.6951910204,39,87706.06901713017,29625.68841892894,20120.824193094937,6874.001086750326,2024-08-27,264,183667.7560738192,8774.318234840543,334650.62553507724
CSE,790400.1959261704,27,46117.54217977409,49629.77964406623,137419.07155481196,10575.245588343325,2024-10-18,833,196761.97219702043,49676.17901837065,460782.84146759874
ECE,1201075.1379038752,27,36326.35819636677,34889.077088230355,23200.337899361017,15197.39843428867,2024-08-20,190,211807.6187408035,10723.210413462992,509514.24853266106
AI&DS,572724.0996046087,2,23709.66305180819,13966.067948374131,47229.25003623644,13694.56007622218,2024-05-23,266,366513.8678461226,8255.67727262258,284955.3371311782
CSE,1267090.3703058113,41,33955.12112639837,7023.264871619801,74114.16148942796,5541.13903367459,2023-06-02,306,231303.10780423056,44533.883714322015,561583.1288917382
Cybersecurity,848352.7217729188,48,11982.42291014353,10686.041659152977,66354.27237360648,7294.440161779396,2024-05-28,381,429797.6737878897,18582.55974018028,465330.3753066325
AI&DS,1126492.0026613614,13,62493.1743210504,30314.984057287133,138524.36399866085,22023.832285089404,2024-05-17,164,472606.44510587864,34263.36383330784,579040.4900092643
Mechanical,900446.7318138676,9,85800.76717095531,39432.21479675449,25237.562945490474,26983.111584064016,2024-11-06,987,174613.6151556776,19805.25783480048,440242.5994244835
EEE,624208.2311067395,36,59408.24044974776,47318.86432853361,86587.9119980167,17855.67528164944,2023-01-06,615,284740.29587408324,22615.442185751202,398523.5952538847
Cybersecurity,1899483.9485762056,22,29734.656573148815,5712.042739856937,108462.33012816861,18479.776987840825,2024-05-14,256,56577.70304795657,16795.083740755843,693738.3207458691
Mechanical,1539031.2986115336,42,13030.226039248544,28524.20637028414,141120.73657855194,11377.335820809485,2024-10-22,860,108229.8334055159,20436.980260685457,658812.8409327714
Cybersecurity,323220.6927445825,26,29316.526593292256,26189.031030042956,100648.26277608373,24196.909090842782,2024-12-17,868,212598.22568797844,23481.51802639444,294065.79367733235
CSE,1743512.55300093,12,47450.92852639831,34522.47598890668,124488.18068152915,23794.864684181408,2023-04-28,846,111039.33079187165,37418.72310915543,716235.2636600115
Mechanical,1000490.8365865516,17,78365.02858298169,30181.048450940387,30884.241919895292,19709.142230441415,2024-04-29,405,439514.6404864716,28019.12874056563,492606.20729164465
EEE,1794376.8424434783,14,26905.85672839967,35916.76177621163,70172.13642180056,10316.60716278357,2024-08-23,977,87560.26546895805,47460.43477206396,691927.7308586282
AI&DS,1609717.7490972646,14,74781.23080192175,34613.716313713565,68613.12748227877,7425.4554559272365,2024-10-27,494,233273.80256101507,6884.617722744898,636298.4810749105
Medical Electronics,879166.3337150052,34,88024.01215166954,10265.527618607579,135217.4681392433,6605.964396428148,2024-11-09,173,306792.6278253391,27638.074518441266,479850.2233521106
ECE,93815.15122422893,20,50855.21632975213,40987.30611284238,39678.25226422574,19817.401666071943,2024-04-12,286,349013.3149988138,31290.115497427316,213486.0658268446
Civil,573920.8508006448,11,83928.87924783339,10545.465907234618,39745.202403761934,25625.88297857,2023-06-10,673,197703.9911659883,46408.86437334232,348310.703527754
EEE,1106186.7185886905,16,59919.1613231586,36433.87813441117,62712.5594851538,26458.26079452312,2023-09-27,436,435858.54367511696,7212.133562964242,556771.2410454903
Mechanical,1285282.5286609873,31,67338.17533728146,23726.5415438273,27080.586157688886,16590.551858586245,2023-02-25,775,288476.38402818353,30807.48132208472,584591.63573493
Medical Electronics,552880.9865947445,6,57365.06143043824,28123.283055946908,43719.545284823704,24606.782482667924,2023-08-16,667,225358.81241930038,43413.34678375807,331766.6908450982
EEE,321744.3444420071,19,51685.544507620754,45648.410646906974,145477.25301094557,28672.00490852559,2023-05-29,722,42947.91068549794,15886.747765365646,270983.0456069144
Mechanical,1678113.9617586334,37,31118.809759826443,45044.76769130689,75663.91218273247,11879.2528122017,2023-02-15,829,237697.83953813085,44433.155683577184,703659.9464833335
IT,1969584.2523719266,4,37287.465351494146,41803.53375447633,102162.49709491673,14949.00865951893,2023-05-24,339,412160.56199970783,5856.953417343132,768961.6395588799
IT,1075095.8554902375,47,36097.310704924814,27956.677120534547,114394.4637148028,28286.974814917015,2024-09-23,632,311125.09892844455,37960.458311017836,571495.7545663512
EEE,384774.6074041918,4,60696.00378584333,38130.79145602249,67704.98291093606,13455.774182932122,2023-12-06,240,417759.602327268,46990.09495258939,308711.9424476638
IT,580999.2867127694,20,20795.832372150093,28080.367498346423,39139.519673367206,27846.907258044906,2024-02-17,364,252065.71859365975,34573.8947738028,312289.14955313416
Mechanical,85861.81926756013,10,92511.25216321016,44132.273711364986,46855.53210883151,29526.121556361642,2024-06-03,238,68046.23549629611,24756.315979120158,147077.23479862016
Mechanical,1832882.672792973,24,74858.96307548019,23124.912495480494,60724.64195547935,21545.268214360618,2023-12-10,558,16683.524459581724,7019.645741272311,676917.211967122
EEE,279614.6116357752,35,46130.106782187424,48660.59049866946,102688.89464578933,25422.257237604208,2024-01-22,169,158577.5778921097,46405.121599518294,264490.5007334471
Medical Electronics,1174207.1272527943,26,24276.17300737402,46954.52412029949,71776.47138157708,23738.63910552713,2024-04-17,484,352015.3310339183,26163.330021120866,555243.9063599809
AI&DS,584407.6803400517,37,89379.29527494723,38372.11787533035,20885.910727016657,22488.356440388096,2023-10-02,729,397227.3529314299,6304.853495117661,385430.25745765865
Cybersecurity,1130647.1049057972,38,84140.02810910487,17573.71478792324,88042.93405877134,12673.276824530814,2023-12-19,297,154918.88896396142,36041.94820979428,522454.5342735459
Medical Electronics,1320269.7572861353,21,74954.93974454614,10924.411495696628,139796.7409479643,6427.3584476985925,2023-03-07,304,252870.4212327911,26682.676410931617,595148.7059171232
CSE,1667996.5172290432,40,34439.23426701181,43461.65525419389,125570.08943112828,13576.293312991265,2023-03-20,825,216348.26317269998,10595.539284908482,692092.1917201062
Mechanical,452521.47993317625,39,46220.197369030204,12438.602876208257,127277.47826375204,21673.399630097665,2024-08-20,667,211156.16433219964,14642.23141896168,332333.6401804964
CSE,71441.86588403693,21,19247.3427207181,43441.735504880104,123357.54228879705,7563.229955695035,2024-09-27,898,123360.86946807374,7902.080620513082,179080.8929352829
Medical Electronics,316926.97863417416,10,27013.557225477853,27084.42530205622,62085.007329355074,5297.949574456053,2023-07-21,904,76821.8414644346,30843.20928688581,218451.41426530608
Cybersecurity,1805036.3516038049,38,80471.49735850596,23295.05527136469,119475.19838807096,8492.309315073466,2024-10-23,786,106377.39353329442,32991.326566340416,753733.4748044633
Cybersecurity,1754085.6512469046,46,74353.48469656154,45643.58504754931,38610.976515455084,22893.398160269884,2024-07-11,958,37112.86971003959,27758.403425995,708439.7443461125
Civil,1214955.549232101,4,63413.718667834124,32173.294214312507,105503.09914587396,29319.8425414111,2023-04-23,981,107084.06349355275,41769.595985117674,543424.1250324418
Cybersecurity,1221007.877845624,45,90615.40533335556,30947.6303208373,103403.91366904927,29576.61749037051,2023-04-01,739,14508.439836435933,43745.39695886061,579038.1555115071
AI&DS,1346821.5153651983,20,62493.98660317408,30144.467508097896,23324.073881665507,17349.4787285047,2023-05-21,530,317356.61631162936,32703.097850740698,599410.4339481425
Cybersecurity,391973.9933157267,17,52027.11999672496,21702.628220878913,122436.11736682111,26733.807524808686,2023-10-16,989,165023.9496199646,5574.041586834374,323575.24872625497
Medical Electronics,1833103.2945536715,7,40633.36716751864,40353.93965881073,137422.25366236697,23420.661393787603,2024-12-30,424,486840.90859918523,36285.334508648106,764796.6910182438
Civil,866602.5235395426,4,94640.36551625554,16375.929980709785,54763.986201374,17526.005924615085,2024-08-11,541,104921.35488038594,23809.96476141582,407449.49726920313
Medical Electronics,797120.13008652,29,17444.391537191816,47250.27320185737,125610.79414419961,19319.013323877167,2024-02-15,903,179455.999451701,30450.086745187415,436834.3214520619
Medical Electronics,1061889.5253015333,14,93779.86348547276,45229.334227113235,30712.776342053265,8430.678665421776,2024-01-12,387,185342.16773435127,34208.6270908498,478391.2708360156
ECE,141583.63521135732,3,84404.31939379165,20186.614655370417,97995.82157393858,28441.536515414802,2024-01-19,325,14141.233070605664,20760.647644718454,164921.10287663186
Civil,374252.56907435483,24,21693.693208213117,37825.86964242487,83134.09249345603,13798.24426829442,2023-06-01,163,421211.8969893349,46269.43273273074,308783.88359587314
Medical Electronics,1489165.5520314223,37,60848.59219077282,30795.043750231616,90970.05933017,16153.731411429239,2024-09-18,659,25677.285470719115,11028.869003740154,606681.0791670902
ECE,211457.40245399662,16,87989.31835741783,20194.218589965556,140406.67624496488,21791.50577494747,2023-11-15,813,470688.11901732825,35218.031327646684,336777.967757171
ECE,1226146.613459457,4,61462.82472464383,49483.4741597951,133270.98214209097,13347.561788163848,2024-01-04,597,447116.4320358741,5196.18109804612,582692.4541033497
Civil,528430.7638785759,24,91647.983940456,6135.680563171889,122060.87544116842,11356.479024723263,2024-08-28,948,272405.73888212215,46609.29974323314,402510.49195216567
CSE,809126.4473818543,34,94868.54351344383,16369.0713779579,55580.79949818823,20776.234831755515,2024-07-13,159,276361.8317065331,10062.685995714117,426507.51247940306
AI&DS,612952.7867028648,30,48014.60699658753,28403.33275000177,138536.4217291919,5624.602057046236,2024-12-03,496,330351.1822485166,9269.790356640859,402170.8504128105
Cybersecurity,743561.7971066508,18,43958.22952656913,28487.885156535376,32676.000020303785,23018.12780066697,2024-04-06,356,199654.50584809462,19985.34348735099,364978.1319616044
AI&DS,1452139.5151092787,19,94268.90385722411,31501.988372550386,130932.79815264241,17850.584246912746,2023-01-12,676,327138.9188649492,21810.482871758628,670996.1236492365
Cybersecurity,629387.3454651913,31,70762.60550347013,38825.427741031366,62660.80940596901,20143.84326302336,2023-06-05,338,31936.510457358567,14643.503254529538,327517.5680725572
Medical Electronics,1154489.0485789494,19,20442.041321335237,33056.502373368334,26990.400516057838,20797.00398117213,2024-11-14,900,36483.33740136602,31330.474741720613,476801.22788046737
Mechanical,978298.2842882443,49,13806.257430041307,32012.665723761664,107016.40795129728,18176.253912314092,2024-04-21,137,234042.90561357673,24931.13441188836,481834.68378056015
Civil,1344158.7724571638,46,60816.614589753684,7408.1508310869485,50066.390681074205,19563.3444360184,2024-02-05,124,279314.9275419571,6537.901506848933,571776.7365219792
AI&DS,1876817.991683278,19,93715.38688945821,21943.862950518425,51664.24636240215,22094.705022246864,2023-06-26,509,445030.6437645513,19384.34280148853,782524.9564957094
AI&DS,1478515.5895599881,22,85982.38321652365,15442.50828655202,59786.131609740296,23827.971179491855,2023-12-07,560,61283.71061486917,41469.48111079267,605599.9391480463
Medical Electronics,469133.7382519757,24,70826.29718179029,16941.655022088897,28279.019775327175,23186.309782153014,2023-02-26,670,413097.4843250058,36036.56906878408,344449.8085861016
CSE,110807.11336950511,45,22520.426400197877,29945.18634531552,43026.52874577303,26740.411443306544,2024-03-23,516,112923.1952731141,37619.18841109462,185982.25756112978
ECE,561414.886384659,12,32880.82453738261,13977.73917183238,20668.15158612284,9736.085829185069,2023-07-22,456,203100.9877699156,36415.26158375856,299922.2047322538
Medical Electronics,1210401.9648654968,30,88796.01038973546,18227.709545760386,77903.23774375228,15028.699237294939,2024-11-27,482,165135.19306543234,18993.7859622365,549877.444321
IT,150280.33629428816,38,26452.65129912104,15668.811883280305,30953.199064336266,28694.901650361426,2024-09-24,908,206076.0837040455,9484.876493454914,209088.91797924362
ECE,1017914.1820424108,31,35059.54674253911,47682.632444818766,108744.83865574587,14914.764359658244,2023-07-21,257,83742.79405556692,17261.02328148932,451819.171705882
Civil,1213843.555387934,36,21664.058607589774,47509.95794769928,50630.97065491429,8121.751922648067,2023-11-26,668,256749.3364577419,42430.33850833217,540894.5344912827
ECE,701775.5870930736,19,70849.740827297,32447.370136822326,142664.63872457301,18136.12815905449,2023-12-29,532,402804.86901737,49121.1859002382,472710.2027423239
CSE,1553278.7973043527,48,94958.40748268887,46603.5110929355,133262.71156182484,7737.274313861554,2024-03-29,147,226351.6650856595,27223.11566337026,691863.4885575781
ECE,257866.59361085502,45,34207.12284358474,40361.569046076795,57627.31634586707,10071.330968196631,2023-12-22,427,250400.65219011754,5436.5159715369,244997.05304990063
Civil,196518.67438482709,36,52786.594706506636,31547.654726081393,121818.00910536824,29957.96891427392,2023-08-04,532,425896.116787844,11302.016546040308,299186.0182000023
CSE,1469968.0745970265,30,67090.57657400839,5289.584517355807,124421.83760642482,18534.0659599033,2024-07-08,530,355968.4761726351,19493.62588923196,667734.1519102686
AI&DS,1016208.066602087,49,99951.96233940676,39763.23287357318,148253.20483487335,12101.459726010726,2023-01-23,155,250322.66017469452,31036.34068668274,543576.6935057574
AI&DS,1392384.6730340852,33,19432.72584978149,36611.975371481094,97719.19828993904,29869.373864347654,2023-06-04,676,136270.86761269806,8379.214061239129,587627.8622978772
Cybersecurity,897913.3102773052,18,54871.37195551382,32686.41439770863,30655.545503676083,29163.97296387858,2023-07-05,367,443614.1059540337,47451.07844194467,469203.8969627415
ECE,530483.9648162583,49,44660.810791225005,39219.09402571122,104088.83976042953,16018.476027106588,2023-09-06,168,292739.9968283736,21428.765297798032,378352.5153327836
AI&DS,1647249.5194646895,28,87923.81487001196,28081.497414864458,101247.36728888458,11510.07771969771,2023-05-14,827,118362.32895423977,46066.28980661704,718412.7487178191
Civil,1608860.9639895095,47,52837.09579104903,36683.747209460256,102985.57506465614,25959.99095230475,2023-11-17,700,141868.67879262508,40123.48112406598,686915.8552678362
EEE,1404658.1181661321,11,19987.97721266333,47082.7439026922,59928.9342535475,22890.517924294643,2024-01-25,548,403535.2135787605,38994.67726320115,610948.1259570627
EEE,580683.0175984273,45,67098.17307579253,21911.225713073884,131758.34606044326,22173.53587508776,2024-03-09,892,31631.325422853173,32302.38109020044,377062.5255630517
CSE,1200949.80039472,33,79370.25564374917,36865.48257052814,144731.38378420356,27327.843533061816,2023-01-22,356,496125.1716441218,33205.271767333004,636795.2656086009
AI&DS,753899.0990330522,17,10259.312649905314,26405.95181049314,48302.6266871597,22235.428346783116,2024-08-22,771,73872.32306024797,33710.145584731166,369776.0676567289
AI&DS,228585.0429869366,6,87306.10168785666,35347.984331629166,31459.780557763777,12094.948576038729,2024-10-26,589,400073.5774444993,33292.4624161512,264545.78992806975
EEE,1838761.4721513735,4,26742.070000509906,39330.200099946385,45289.55431190293,22346.57904689331,2023-05-05,845,203439.9052181246,29917.770412926257,703184.4387253477
AI&DS,316796.33029197477,20,59686.24281880401,7045.362519610819,126671.77810324344,12645.3377820916,2023-03-20,742,251185.92981085877,49388.63083173,318198.11989496095
ECE,1902962.8399505648,48,47421.77506187051,34097.019977689786,107963.80252658017,23980.974491424877,2023-02-20,148,441518.78295764315,37953.07553415633,804472.9575034766
IT,919711.2572680137,47,74768.84349494774,15203.353298312506,102686.15450408646,20493.69636228915,2024-12-28,758,212326.4828987145,39962.58747766345,502356.67587234435
Mechanical,411009.2112353083,27,43404.54533071676,35151.46420134051,72233.10756422518,6935.288799618765,2023-06-25,415,273371.9392998849,44260.82667876534,295503.7360270732
Cybersecurity,1106706.8473877984,15,88278.68590135397,26074.858367021607,95117.63629648664,17820.88406087855,2023-09-10,512,34156.834580493276,14703.789322663213,470683.24281573144
CSE,1752244.379958996,6,75744.67248629112,39809.87338391993,60023.636285667766,13582.524229893523,2023-09-03,533,11150.262195052046,8771.187159277735,610357.1816163409
IT,1477838.5284986442,47,68294.18539566293,10553.036684251838,82036.01032433496,13214.265818307356,2023-04-16,101,129951.93777084569,26730.24964693694,613239.2788450753
EEE,1622794.2383298269,14,81661.6536006569,33184.50582452878,123098.19368818526,20056.40755943143,2023-07-12,940,343485.715530196,28133.631302867292,753868.0963773193
AI&DS,1334627.5650858989,11,77862.0731435544,17531.182801739855,147561.40766921008,13058.120611735623,2023-11-12,244,69419.79774597698,42313.1800977463,565486.2988975333
Cybersecurity,1399939.3008098123,39,13234.4807429398,43384.18978987662,141223.56006667425,24422.343705121817,2023-10-29,465,65743.35981422922,24970.261067705105,572813.1096138874
AI&DS,1705931.5205523726,9,45526.091846034535,46777.257753633836,141402.57257001236,6769.785900279361,2024-07-01,519,211370.6979375926,30688.386149494072,688630.4872708106
Civil,536852.6172754127,26,93772.65675848408,49837.923215557494,72289.0855301246,21509.706309895635,2024-12-16,672,327440.14891803096,28718.192233105623,388136.60175990494
Civil,1004378.679104124,16,21315.184209300358,40820.33310922775,80942.68446588282,25229.870091418532,2023-09-25,884,358915.27620148595,6719.125269082598,485248.0673742163
Cybersecurity,481358.41154822434,5,76338.68953888462,38918.033169260205,111732.6015279676,21820.79224801075,2023-06-19,660,97440.83030820364,32684.67034686113,324032.0807723748
Cybersecurity,1975952.6155934616,10,97713.26302017967,14697.534149039797,139884.95064666696,17430.729875499892,2024-07-04,943,48998.1922123008,42261.94785984135,801948.3350553872
EEE,1890915.712388896,3,14697.876614047447,20120.317654554892,38459.253715771,28757.67534340453,2024-03-30,543,470794.54663331667,12087.524663411172,721456.8733641255
Cybersecurity,126882.2821685865,13,71397.44925639493,25955.71437930258,59551.44229753545,12498.46224495159,2024-10-12,533,137726.52745542984,31744.92802669681,196843.24769604305
ECE,1425871.5864055925,43,52133.87271709274,39802.147150201235,38102.089797234235,5479.197188124444,2023-10-19,742,428139.7838282747,31712.474500088647,675525.7574370673
AI&DS,1854234.2189605483,49,62125.77298372499,46173.46392850859,99561.10889472919,15799.734286586021,2024-07-17,654,433110.81072678097,12388.323382536142,834674.114698516
IT,402121.9229983004,30,17680.72028358924,13511.259501034308,59819.129595379876,5825.298397508182,2023-05-21,156,388536.06996364676,10555.86081788312,307291.69493142655
Medical Electronics,1157493.1995776275,45,13870.625668024553,46506.53681015463,62394.02082663455,28848.41881316022,2023-05-26,661,92728.46725975935,49102.337433941815,509223.6497184241
Cybersecurity,1835202.1802966816,6,70017.99944958295,36303.10935593261,29219.0747334373,10247.951143701288,2024-02-29,277,412682.71503455815,22717.36263438669,749579.7195095248
CSE,116194.65824230773,17,84097.8486838646,32484.68288082674,65473.48803498695,24723.175598721988,2023-11-10,392,386932.7740283775,15233.977792558817,235072.0861012684
Civil,1409969.5211313379,45,80381.38014396705,13992.857207687279,132124.5459622061,24364.30207935912,2023-07-03,145,302394.2651520464,12709.604500446872,639298.2275884401
ECE,629830.564376474,19,58942.51550796136,7498.626476411775,50299.46554580855,10443.222492073339,2024-10-25,269,175228.99723278685,35042.07711124558,331460.4670791093
Medical Electronics,1852572.5809842343,42,18988.013902256036,30580.920432857296,110374.37060730853,20530.663262004182,2024-12-13,370,138629.2160906066,32425.038379727546,720308.6616215495
IT,1943563.5780724671,35,71923.99994524124,34318.20574980016,101851.68484201704,6201.974212161255,2023-05-08,516,69725.71391937589,33959.845534433785,764211.4877023334
Medical Electronics,1891319.653771196,46,31769.999519873134,14485.165220960971,132252.999087985,17089.364642596687,2023-10-14,947,259780.962781427,8960.271238015352,780791.4942613808
Cybersecurity,974717.7224820544,26,91996.18324906453,30040.529262145537,37197.43319463497,5366.178181812168,2023-09-10,238,296777.82899982476,45209.056257429664,478382.9088620207
EEE,1730983.1694291611,5,85443.88235911344,43542.20312431581,147086.69484485564,28028.597004521045,2024-11-30,346,186076.10535273573,22516.987856407173,721598.1270148342
Civil,1696871.3271433872,29,73844.46703786518,42577.9675454759,95741.72398524752,29402.150604989292,2024-01-21,247,242925.9431636256,19101.623289366107,700531.9473097362
Civil,672245.9228243484,37,95396.13602480173,46730.98312638338,149411.63980508587,10557.069165964633,2023-08-18,329,188122.0841109407,25806.265126148264,427043.32540946687
EEE,1666385.174593821,20,12827.963936014563,21464.86143005962,138496.9143625606,10202.65086490932,2023-09-28,891,324092.9680871436,22552.972958643273,714479.7337805858
AI&DS,122164.88769521061,49,76258.03825546858,19312.23076479134,48797.24537470375,23843.00441405324,2024-02-19,736,451617.011820316,43860.965141261564,315073.23229122383
Mechanical,1212726.2630400034,21,39721.85014027648,38724.17026913639,27301.061287430704,11334.484970733361,2023-07-17,803,90320.928403003,46816.74388390515,491814.7185428176
ECE,498517.232711021,10,91545.92971177287,24400.058229365226,53233.082193397,27376.913979046127,2023-11-19,473,196890.31685253046,18655.39474023228,317915.45464513503
Civil,285105.42726569367,5,34000.767699577984,8939.689881250128,88583.27436992459,19348.228403074558,2023-02-25,179,79025.61593592205,43877.11133569797,194570.0157372551
CSE,200058.74317695785,36,75237.08493835153,17726.050880172486,42307.527718474696,13769.440575257802,2023-07-22,705,316222.44749983767,40168.54082898802,278480.3577258448
Civil,1407763.1129623726,6,88988.23176857033,23836.20284891701,41769.76678733851,25817.343658735503,2024-09-12,837,367146.5496494119,46886.34525551428,651365.3844105997
Medical Electronics,712756.179347729,26,13749.113654441418,18163.23914643134,80137.16112366991,17335.16751033488,2024-09-19,164,466637.2389727534,16058.764048364952,385204.4364680088
Civil,1463295.2044810848,4,45788.28216328325,19949.250692629474,24324.836252016594,27790.82284271189,2024-08-26,187,146647.2438678728,30963.16175544406,531974.3191549788
Civil,177444.8645579376,39,78607.81288197447,18219.915777847586,35845.45072919516,28200.355918234523,2023-05-18,187,475603.4908740608,17354.50631332001,251773.28776542057
Mechanical,664816.1587696902,39,50942.700055682835,6867.462523238575,74061.97412303319,9135.503803210233,2024-02-26,812,40998.70919213066,42084.25207179684,362005.4094102593
Mechanical,1102008.0201319077,35,34052.73668142358,33669.26153709991,28206.888197035638,5058.085153298257,2023-02-26,825,305476.7930486482,5239.588575697891,520432.28385387454
IT,1591910.171435979,1,29782.481394087103,31878.15891590612,71578.15733921881,29598.273503560056,2024-07-15,303,37995.03247823169,30416.862329887826,574102.2346736295
AI&DS,671567.3807175363,24,21836.644022474014,34402.257431540624,81620.81457329786,27653.438403186985,2023-03-12,481,447949.35200335295,20264.15440723631,394584.04371082206
CSE,1270488.1840521677,36,87141.6603870654,13653.945321513236,78664.65982950488,6386.130892596035,2024-08-16,700,269606.43796432647,19520.76681850191,590654.6612294322
Civil,1777656.609060565,6,61781.98629264004,18304.454372561835,132992.73146240134,25825.85659852675,2024-01-07,575,337980.6918737701,34020.784573921264,733271.6299303288
Civil,1250933.216955494,41,16874.64504923104,32882.716712521506,88908.11915672521,16445.123313980166,2024-09-08,672,417471.2236961218,43316.80021912973,599291.3994421298
ECE,504270.9757695859,46,44432.22912135719,31983.240580696463,80837.46012214564,11474.04012562438,2024-08-22,882,83652.20501714469,32413.79261269968,342596.7779066551
Mechanical,97581.52403524914,44,43096.02857245989,27784.86392094205,73392.20190091661,26968.663091923245,2024-05-28,705,28909.865349685584,43392.78403910251,188816.5557953648
CSE,1746692.8041068132,31,26356.527163851668,20768.596250458882,126291.0391795832,9916.680809757681,2023-03-25,918,440651.76149729756,16906.87003464635,779441.3743476379
IT,91475.35115825493,20,49195.686292497165,46081.89521486105,136357.3585199783,28682.499985501672,2023-02-12,638,164317.2814548769,28377.58346442415,222645.56605522317
AI&DS,1755668.2617341888,24,39888.942885382276,20289.66090344797,130921.52099562528,10140.537192483527,2024-10-27,313,73199.66488431097,25274.14425801842,673896.6038449492
EEE,1081427.4113530633,25,40762.33349429643,25502.86203967632,107561.05515708082,20342.079693218588,2024-08-28,173,239546.0061726724,5524.020477639329,480574.49032907555
